x_m,y_m,w_tr_right_m,w_tr_left_m
66,173.6,5,5
65,173.6,5,5
64,173.6,5,5
63,173.6,5,5
62,173.6,5,5
61,173.6,5,5
60,173.6,5,5
59,173.6,5,5
58,173.6,5,5
57,173.6,5,5
56,173.6,5,5
55,173.6,5,5
54,173.6,5,5
53,173.6,5,5
52,173.6,5,5
51,173.6,5,5
50,173.6,5,5
49,173.6,5,5
48,173.6,5,5
47,173.6,5,5
46,173.6,5,5
44.8,173.5,5,5
43.6,173.3,5,5
42.5,173,5,5
41.4,172.6,5,5
40.4,172.2,5,5
39.3,171.8,5,5
38.3,171.2,5,5
37.3,170.7,5,5
36.4,170,5,5
35.4,169.3,5,5
34.6,168.6,5,5
33.7,167.8,5,5
33,167,5,5
32.2,166.1,5,5
31.5,165.2,5,5
30.9,164.2,5,5
30.3,163.2,5,5
29.8,162.2,5,5
29.4,161.2,5,5
29,160.1,5,5
28.6,159,5,5
28.4,157.9,5,5
28.1,156.8,5,5
28,155.6,5,5
28,154.6,5,5
28,153.6,5,5
28,152.6,5,5
28,151.6,5,5
28,150.6,5,5
28,149.6,5,5
28,148.6,5,5
28,147.6,5,5
28,146.6,5,5
28,145.6,5,5
28,144.6,5,5
28,143.6,5,5
28,142.6,5,5
28,141.6,5,5
28,140.6,5,5
28,139.6,5,5
28,138.6,5,5
28,137.6,5,5
28,136.6,5,5
28,135.6,5,5
28,134.6,5,5
28,133.6,5,5
28,132.6,5,5
28,131.6,5,5
28,130.6,5,5
28,129.6,5,5
28,128.6,5,5
28,127.6,5,5
28,126.6,5,5
28,125.6,5,5
28,124.6,5,5
28,123.6,5,5
28,122.6,5,5
28,121.6,5,5
28,120.6,5,5
28,119.6,5,5
28,118.6,5,5
28,117.6,5,5
28,116.6,5,5
28,115.6,5,5
28,114.6,5,5
28,113.6,5,5
28,112.6,5,5
28,111.6,5,5
28,110.6,5,5
28,109.6,5,5
28,108.6,5,5
28,107.6,5,5
28,106.6,5,5
28,105.6,5,5
28,104.6,5,5
28,103.6,5,5
28,102.6,5,5
28,101.6,5,5
28,100.6,5,5
28,99.6,5,5
28,98.6,5,5
28,97.6,5,5
28,96.6,5,5
28,95.6,5,5
28,94.6,5,5
28,93.6,5,5
28,92.6,5,5
28,91.6,5,5
28,90.6,5,5
28,89.6,5,5
28,88.6,5,5
28,87.6,5,5
28,86.6,5,5
28,85.6,5,5
28,84.6,5,5
28,83.6,5,5
28,82.6,5,5
28,81.6,5,5
28,80.6,5,5
28,79.6,5,5
28,78.6,5,5
28,77.6,5,5
28,76.6,5,5
28,75.6,5,5
28,74.6,5,5
28,73.6,5,5
28,72.6,5,5
28,71.6,5,5
28,70.6,5,5
28,69.6,5,5
28,68.6,5,5
28,67.6,5,5
28,66.6,5,5
28,65.6,5,5
28,64.6,5,5
28,63.6,5,5
28,62.6,5,5
28,61.6,5,5
28,60.6,5,5
28,59.6,5,5
28,58.6,5,5
28,57.6,5,5
28,56.6,5,5
28,55.6,5,5
28,54.6,5,5
28,53.6,5,5
28,52.6,5,5
28,51.6,5,5
28,50.6,5,5
28,49.6,5,5
28,48.6,5,5
28,47.6,5,5
28.2,46.4,5,5
28.4,45.3,5,5
28.7,44.2,5,5
29,43.1,5,5
29.4,42,5,5
29.9,41,5,5
30.4,39.9,5,5
31,39,5,5
31.6,38,5,5
32.3,37.1,5,5
33,36.2,5,5
33.8,35.4,5,5
34.7,34.6,5,5
35.5,33.9,5,5
36.5,33.2,5,5
37.4,32.6,5,5
38.4,32,5,5
39.4,31.5,5,5
40.5,31,5,5
41.5,30.6,5,5
42.6,30.3,5,5
43.7,30,5,5
44.9,29.8,5,5
46,29.6,5,5
47,29.6,5,5
