x_m,y_m,w_tr_right_m,w_tr_left_m
11,17.36,5,5
10.9,17.36,5,5
10.8,17.36,5,5
10.7,17.36,5,5
10.6,17.36,5,5
10.5,17.36,5,5
10.4,17.36,5,5
10.3,17.36,5,5
10.2,17.36,5,5
10.1,17.36,5,5
10,17.36,5,5
9.9,17.36,5,5
9.8,17.36,5,5
9.7,17.36,5,5
9.6,17.36,5,5
9.5,17.36,5,5
9.4,17.36,5,5
9.3,17.36,5,5
9.2,17.36,5,5
9.1,17.36,5,5
9,17.36,5,5
8.9,17.36,5,5
8.8,17.36,5,5
8.7,17.36,5,5
8.6,17.36,5,5
8.5,17.36,5,5
8.4,17.36,5,5
8.3,17.36,5,5
8.2,17.36,5,5
8.1,17.36,5,5
8,17.36,5,5
7.9,17.36,5,5
7.8,17.36,5,5
7.7,17.36,5,5
7.6,17.36,5,5
7.5,17.36,5,5
7.4,17.36,5,5
7.3,17.36,5,5
7.2,17.36,5,5
7.1,17.36,5,5
7,17.36,5,5
6.9,17.36,5,5
6.8,17.36,5,5
6.7,17.36,5,5
6.6,17.36,5,5
6.5,17.36,5,5
6.4,17.36,5,5
6.3,17.36,5,5
6.2,17.36,5,5
6.1,17.36,5,5
6,17.36,5,5
5.9,17.36,5,5
5.8,17.36,5,5
5.7,17.36,5,5
5.6,17.36,5,5
5.5,17.36,5,5
5.4,17.36,5,5
5.3,17.36,5,5
5.2,17.36,5,5
5.1,17.36,5,5
5,17.36,5,5
4.9,17.36,5,5
4.8,17.36,5,5
4.7,17.36,5,5
4.6,17.36,5,5
4.48,17.35,5,5
4.36,17.33,5,5
4.25,17.3,5,5
4.14,17.26,5,5
4.04,17.22,5,5
3.93,17.18,5,5
3.83,17.12,5,5
3.73,17.07,5,5
3.64,17,5,5
3.54,16.93,5,5
3.46,16.86,5,5
3.37,16.78,5,5
3.3,16.7,5,5
3.22,16.61,5,5
3.15,16.52,5,5
3.09,16.42,5,5
3.03,16.32,5,5
2.98,16.22,5,5
2.94,16.12,5,5
2.9,16.01,5,5
2.86,15.9,5,5
2.84,15.79,5,5
2.81,15.68,5,5
2.8,15.56,5,5
2.8,15.46,5,5
2.8,15.36,5,5
2.8,15.26,5,5
2.8,15.16,5,5
2.8,15.06,5,5
2.8,14.96,5,5
2.8,14.86,5,5
2.8,14.76,5,5
2.8,14.66,5,5
2.8,14.56,5,5
2.8,14.46,5,5
2.8,14.36,5,5
2.8,14.26,5,5
2.8,14.16,5,5
2.8,14.06,5,5
2.8,13.96,5,5
2.8,13.86,5,5
2.8,13.76,5,5
2.8,13.66,5,5
2.8,13.56,5,5
2.8,13.46,5,5
2.8,13.36,5,5
2.8,13.26,5,5
2.8,13.16,5,5
2.8,13.06,5,5
2.8,12.96,5,5
2.8,12.86,5,5
2.8,12.76,5,5
2.8,12.66,5,5
2.8,12.56,5,5
2.8,12.46,5,5
2.8,12.36,5,5
2.8,12.26,5,5
2.8,12.16,5,5
2.8,12.06,5,5
2.8,11.96,5,5
2.8,11.86,5,5
2.8,11.76,5,5
2.8,11.66,5,5
2.8,11.56,5,5
2.8,11.46,5,5
2.8,11.36,5,5
2.8,11.26,5,5
2.8,11.16,5,5
2.8,11.06,5,5
2.8,10.96,5,5
2.8,10.86,5,5
2.8,10.76,5,5
2.8,10.66,5,5
2.8,10.56,5,5
2.8,10.46,5,5
2.8,10.36,5,5
2.8,10.26,5,5
2.8,10.16,5,5
2.8,10.06,5,5
2.8,9.96,5,5
2.8,9.86,5,5
2.8,9.76,5,5
2.8,9.66,5,5
2.8,9.56,5,5
2.8,9.46,5,5
2.8,9.36,5,5
2.8,9.26,5,5
2.8,9.16,5,5
2.8,9.06,5,5
2.8,8.96,5,5
2.8,8.86,5,5
2.8,8.76,5,5
2.8,8.66,5,5
2.8,8.56,5,5
2.8,8.46,5,5
2.8,8.36,5,5
2.8,8.26,5,5
2.8,8.16,5,5
2.8,8.06,5,5
2.8,7.96,5,5
2.8,7.86,5,5
2.8,7.76,5,5
2.8,7.66,5,5
2.8,7.56,5,5
2.8,7.46,5,5
2.8,7.36,5,5
2.8,7.26,5,5
2.8,7.16,5,5
2.8,7.06,5,5
2.8,6.96,5,5
2.8,6.86,5,5
2.8,6.76,5,5
2.8,6.66,5,5
2.8,6.56,5,5
2.8,6.46,5,5
2.8,6.36,5,5
2.8,6.26,5,5
2.8,6.16,5,5
2.8,6.06,5,5
2.8,5.96,5,5
2.8,5.86,5,5
2.8,5.76,5,5
2.8,5.66,5,5
2.8,5.56,5,5
2.8,5.46,5,5
2.8,5.36,5,5
2.8,5.26,5,5
2.8,5.16,5,5
2.8,5.06,5,5
2.8,4.96,5,5
2.8,4.86,5,5
2.8,4.76,5,5
2.82,4.64,5,5
2.84,4.53,5,5
2.87,4.42,5,5
2.9,4.31,5,5
2.94,4.2,5,5
2.99,4.1,5,5
3.04,3.99,5,5
3.1,3.9,5,5
3.16,3.8,5,5
3.23,3.71,5,5
3.3,3.62,5,5
3.38,3.54,5,5
3.47,3.46,5,5
3.55,3.39,5,5
3.65,3.32,5,5
3.74,3.26,5,5
3.84,3.2,5,5
3.94,3.15,5,5
4.05,3.1,5,5
4.15,3.06,5,5
4.26,3.03,5,5
4.37,3,5,5
4.49,2.98,5,5
4.6,2.96,5,5
4.7,2.96,5,5
