x_m,y_m,w_tr_right_m,w_tr_left_m
1.52,1.356,0.25,0.16
1.52,1.366,0.25,0.16
1.52,1.376,0.25,0.16
1.52,1.386,0.25,0.16
1.52,1.396,0.25,0.16
1.52,1.406,0.25,0.16
1.52,1.416,0.25,0.16
1.52,1.426,0.25,0.16
1.52,1.436,0.25,0.16
1.52,1.446,0.25,0.16
1.52,1.456,0.25,0.16
1.52,1.466,0.25,0.16
1.52,1.476,0.25,0.16
1.52,1.486,0.25,0.16
1.52,1.496,0.25,0.16
1.52,1.506,0.25,0.16
1.52,1.516,0.25,0.16
1.52,1.526,0.25,0.16
1.52,1.536,0.25,0.16
1.52,1.546,0.25,0.16
1.52,1.558,0.25,0.16
1.519,1.57,0.25,0.16
1.517,1.581,0.25,0.16
1.514,1.592,0.25,0.16
1.51,1.603,0.25,0.16
1.506,1.614,0.25,0.16
1.501,1.624,0.25,0.16
1.496,1.635,0.25,0.16
1.49,1.645,0.25,0.16
1.484,1.654,0.25,0.16
1.477,1.663,0.25,0.16
1.469,1.672,0.25,0.16
1.461,1.68,0.25,0.16
1.453,1.688,0.25,0.16
1.444,1.696,0.25,0.16
1.435,1.702,0.25,0.16
1.425,1.709,0.25,0.16
1.415,1.715,0.25,0.16
1.405,1.72,0.25,0.16
1.394,1.724,0.25,0.16
1.384,1.728,0.25,0.16
1.373,1.732,0.25,0.16
1.361,1.734,0.25,0.16
1.35,1.736,0.25,0.16
1.34,1.736,0.25,0.16
1.33,1.736,0.25,0.16
1.32,1.736,0.25,0.16
1.31,1.736,0.25,0.16
1.3,1.736,0.25,0.16
1.29,1.736,0.25,0.16
1.28,1.736,0.25,0.16
1.27,1.736,0.25,0.16
1.26,1.736,0.25,0.16
1.25,1.736,0.25,0.16
1.24,1.736,0.25,0.16
1.23,1.736,0.25,0.16
1.22,1.736,0.25,0.16
1.21,1.736,0.25,0.16
1.2,1.736,0.25,0.16
1.19,1.736,0.25,0.16
1.18,1.736,0.25,0.16
1.17,1.736,0.25,0.16
1.16,1.736,0.25,0.16
1.15,1.736,0.25,0.16
1.14,1.736,0.25,0.16
1.13,1.736,0.25,0.16
1.12,1.736,0.25,0.16
1.11,1.736,0.25,0.16
1.1,1.736,0.25,0.16
1.09,1.736,0.25,0.16
1.08,1.736,0.25,0.16
1.07,1.736,0.25,0.16
1.06,1.736,0.25,0.16
1.05,1.736,0.25,0.16
1.04,1.736,0.25,0.16
1.03,1.736,0.25,0.16
1.02,1.736,0.25,0.16
1.01,1.736,0.25,0.16
1,1.736,0.25,0.16
0.99,1.736,0.25,0.16
0.98,1.736,0.25,0.16
0.97,1.736,0.25,0.16
0.96,1.736,0.25,0.16
0.95,1.736,0.25,0.16
0.94,1.736,0.25,0.16
0.93,1.736,0.25,0.16
0.92,1.736,0.25,0.16
0.91,1.736,0.25,0.16
0.9,1.736,0.25,0.16
0.89,1.736,0.25,0.16
0.88,1.736,0.25,0.16
0.87,1.736,0.25,0.16
0.86,1.736,0.25,0.16
0.85,1.736,0.25,0.16
0.84,1.736,0.25,0.16
0.83,1.736,0.25,0.16
0.82,1.736,0.25,0.16
0.81,1.736,0.25,0.16
0.8,1.736,0.25,0.16
0.79,1.736,0.25,0.16
0.78,1.736,0.25,0.16
0.77,1.736,0.25,0.16
0.76,1.736,0.25,0.16
0.75,1.736,0.25,0.16
0.74,1.736,0.25,0.16
0.73,1.736,0.25,0.16
0.72,1.736,0.25,0.16
0.71,1.736,0.25,0.16
0.7,1.736,0.25,0.16
0.69,1.736,0.25,0.16
0.68,1.736,0.25,0.16
0.67,1.736,0.25,0.16
0.66,1.736,0.25,0.16
0.65,1.736,0.25,0.16
0.64,1.736,0.25,0.16
0.63,1.736,0.25,0.16
0.62,1.736,0.25,0.16
0.61,1.736,0.25,0.16
0.6,1.736,0.25,0.16
0.59,1.736,0.25,0.16
0.58,1.736,0.25,0.16
0.57,1.736,0.25,0.16
0.56,1.736,0.25,0.16
0.55,1.736,0.25,0.16
0.54,1.736,0.25,0.16
0.53,1.736,0.25,0.16
0.52,1.736,0.25,0.16
0.51,1.736,0.25,0.16
0.5,1.736,0.25,0.16
0.49,1.736,0.25,0.16
0.48,1.736,0.25,0.16
0.47,1.736,0.25,0.16
0.46,1.736,0.25,0.16
0.448,1.735,0.25,0.16
0.436,1.733,0.25,0.16
0.425,1.73,0.25,0.16
0.414,1.726,0.25,0.16
0.404,1.722,0.25,0.16
