x_m,y_m,w_tr_right_m,w_tr_left_m
0.82,1.72,0.25,0.16
0.83,1.72,0.25,0.16
0.84,1.72,0.25,0.16
0.85,1.72,0.25,0.16
0.86,1.72,0.25,0.16
0.87,1.72,0.25,0.16
0.88,1.72,0.25,0.16
0.89,1.72,0.25,0.16
0.9,1.72,0.25,0.16
0.91,1.72,0.25,0.16
0.92,1.72,0.25,0.16
0.93,1.72,0.25,0.16
0.94,1.72,0.25,0.16
0.95,1.72,0.25,0.16
0.96,1.72,0.25,0.16
0.97,1.72,0.25,0.16
0.98,1.72,0.25,0.16
0.99,1.72,0.25,0.16
1,1.72,0.25,0.16
1.01,1.72,0.25,0.16
1.02,1.72,0.25,0.16
1.03,1.72,0.25,0.16
1.04,1.72,0.25,0.16
1.05,1.72,0.25,0.16
1.06,1.72,0.25,0.16
1.07,1.72,0.25,0.16
1.08,1.72,0.25,0.16
1.09,1.72,0.25,0.16
1.1,1.72,0.25,0.16
1.11,1.72,0.25,0.16
1.12,1.72,0.25,0.16
1.13,1.72,0.25,0.16
1.14,1.72,0.25,0.16
1.15,1.72,0.25,0.16
1.16,1.72,0.25,0.16
1.17,1.72,0.25,0.16
1.18,1.72,0.25,0.16
1.19,1.72,0.25,0.16
1.2,1.72,0.25,0.16
1.21,1.72,0.25,0.16
1.22,1.72,0.25,0.16
1.23,1.72,0.25,0.16
1.24,1.72,0.25,0.16
1.25,1.72,0.25,0.16
1.26,1.72,0.25,0.16
1.27,1.72,0.25,0.16
1.28,1.72,0.25,0.16
1.29,1.72,0.25,0.16
1.3,1.72,0.25,0.16
1.31,1.72,0.25,0.16
1.32,1.72,0.25,0.16
1.33,1.72,0.25,0.16
1.34,1.72,0.25,0.16
1.35,1.72,0.25,0.16
1.36,1.72,0.25,0.16
1.37,1.72,0.25,0.16
1.38,1.72,0.25,0.16
1.39,1.72,0.25,0.16
1.4,1.72,0.25,0.16
1.41,1.72,0.25,0.16
1.42,1.72,0.25,0.16
1.43,1.72,0.25,0.16
1.44,1.72,0.25,0.16
1.45,1.72,0.25,0.16
1.46,1.72,0.25,0.16
1.47,1.72,0.25,0.16
1.48,1.72,0.25,0.16
1.49,1.72,0.25,0.16
1.5,1.72,0.25,0.16
1.51,1.72,0.25,0.16
1.52,1.72,0.25,0.16
1.52,1.71,0.25,0.16
1.52,1.7,0.25,0.16
1.52,1.69,0.25,0.16
1.52,1.68,0.25,0.16
1.52,1.67,0.25,0.16
1.52,1.66,0.25,0.16
1.52,1.65,0.25,0.16
1.52,1.64,0.25,0.16
1.52,1.63,0.25,0.16
1.52,1.62,0.25,0.16
1.52,1.61,0.25,0.16
1.52,1.6,0.25,0.16
1.52,1.59,0.25,0.16
1.52,1.58,0.25,0.16
1.52,1.57,0.25,0.16
1.52,1.56,0.25,0.16
1.52,1.55,0.25,0.16
1.52,1.54,0.25,0.16
1.52,1.53,0.25,0.16
1.52,1.52,0.25,0.16
1.52,1.51,0.25,0.16
1.52,1.5,0.25,0.16
1.52,1.49,0.25,0.16
1.52,1.48,0.25,0.16
1.52,1.47,0.25,0.16
1.52,1.46,0.25,0.16
1.52,1.45,0.25,0.16
1.52,1.44,0.25,0.16
